Title,Price,Rating,Link,Image,Availability,UPC,Tax
Soumission,£50.10,One,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../soumission_998/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,In stock,6957f44c3847a760,£0.00
Private Paris (Private #10),£47.61,Five,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../private-paris-private-10_958/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,In stock,b12b89017878a60d,£0.00
"We Love You, Charlie Freeman",£50.27,Five,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,In stock,8d455c7539795d2a,£0.00
Thirst,£17.27,Five,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../thirst_946/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,In stock,709822d0b5bcb7f4,£0.00
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,In stock,d01ac97e2b8947c2,£0.00
Tuesday Nights in 1980,£21.04,Two,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../tuesday-nights-in-1980_870/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg,In stock,b8736690cf263a3c,£0.00
The Vacationers,£42.15,Four,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../the-vacationers_863/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/37/25/372578cc073efae80cf284b56040a488.jpg,In stock,fd3a622648667296,£0.00
The Regional Office Is Under Attack!,£51.36,Five,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../the-regional-office-is-under-attack_858/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg,In stock,0651062381f0636a,£0.00
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../finders-keepers-bill-hodges-trilogy-2_807/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg,In stock,edb3097e71330040,£0.00
The Time Keeper,£27.88,Five,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../the-time-keeper_766/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/8f/f8/8ff8680dde59ea739d6978a01e4d7fe5.jpg,In stock,e9906e2f0d189745,£0.00
The Testament of Mary,£52.67,Four,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../the-testament-of-mary_765/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/83/05/8305154438c91a02cefacf4ec8b53393.jpg,In stock,081305e6df719dff,£0.00
The First Hostage (J.B. Collins #2),£25.85,Three,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../the-first-hostage-jb-collins-2_749/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/38/34/3834572e651cdc14b18d348fa4875aa9.jpg,In stock,a86972014275e072,£0.00
Take Me with You,£45.21,Three,https://books.toscrape.com/catalogue/category/books/fiction_10/../../../take-me-with-you_741/index.html,https://books.toscrape.com/catalogue/category/books/fiction_10///media/cache/d8/a4/d8a44eda7cbe7bd1207f868e9adc06f3.jpg,In stock,2c04320e110a14a3,£0.00
