Title,Price,Rating,Link,Image,Availability,UPC,Tax
A Light in the Attic,£51.77,Three,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../a-light-in-the-attic_1000/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,In stock,a897fe39b1053632,£0.00
The Black Maria,£52.15,One,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../the-black-maria_991/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,In stock,1dfe412b8ac00530,£0.00
Shakespeare's Sonnets,£20.66,Four,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../shakespeares-sonnets_989/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,In stock,30a7f60cd76ca58c,£0.00
Olio,£23.88,One,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../olio_984/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,In stock,feb7cc7701ecf901,£0.00
You can't bury them all: Poems,£33.63,Two,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,In stock,55f9da0c5eea2e10,£0.00
Slow States of Collapse: Poems,£57.31,Three,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../slow-states-of-collapse-poems_960/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,In stock,b4fd5943413e089a,£0.00
Untitled Collection: Sabbath Poems 2014,£14.27,Four,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../untitled-collection-sabbath-poems-2014_953/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,In stock,657fe5ead67a7767,£0.00
Poems That Make Grown Women Cry,£14.19,Four,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../poems-that-make-grown-women-cry_824/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/38/64/386468a8c3e6b880664bf7885bf6f726.jpg,In stock,31001a1210623bd4,£0.00
Night Sky with Exit Wounds,£41.05,One,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../night-sky-with-exit-wounds_822/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/25/54/2554431c797ec725eea50b3f8a83758c.jpg,In stock,cfeb1e1e0e695b58,£0.00
salt.,£46.78,Four,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../salt_731/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/3f/41/3f4160ada0b16e3c64cd2d0dffe781c8.jpg,In stock,86cbddb61ea78bb7,£0.00
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,Five,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/c8/f2/c8f297fab080ddd02b3ed5c17b83af85.jpg,In stock,aa35446aab16017f,£0.00
Out of Print: City Lights Spotlight No. 14,£53.64,Five,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../out-of-print-city-lights-spotlight-no-14_536/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/93/d5/93d5c64abfad9ed6a0cb2e26f19f1a1e.jpg,In stock,c0fc0cd215ee1724,£0.00
Les Fleurs du Mal,£29.04,Five,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../les-fleurs-du-mal_530/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/36/5b/365b3ab7ab72a6258873716aef6d5c1a.jpg,In stock,c44c5e1425475206,£0.00
Howl and Other Poems,£40.45,Two,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../howl-and-other-poems_522/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/b7/29/b7293f602efb0c17e305077f8175888a.jpg,In stock,b7870fa6dc088fbb,£0.00
Leave This Song Behind: Teen Poetry at Its Best,£51.17,Five,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../leave-this-song-behind-teen-poetry-at-its-best_474/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/31/c7/31c7c5ce7b04d227aa36ecb250b9dad5.jpg,In stock,b74ee891e2a6dd69,£0.00
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,Five,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/7e/93/7e934132cd03486649fb492fe702f704.jpg,In stock,3d250ab0f12be445,£0.00
The Crossover,£38.77,Four,https://books.toscrape.com/catalogue/category/books/poetry_23/../../../the-crossover_398/index.html,https://books.toscrape.com/catalogue/category/books/poetry_23///media/cache/9f/35/9f351ca1978128c60a3b7f85987075b3.jpg,In stock,b228042c088b1913,£0.00
